id,username,post,ticker
0,Сергей Аноним,"1. Компания ужасно (подчёркиваю, ужасно) недооценена, но есть геополитические риски, которые, на мой взгляд, сильно раздуты и значительно ме...Константин, вот и весь газпром. Даже в лучшие времена.",GAZP
1,Константин,"Константин, тарьте, кто вам не даёт то? Для чего вы это всем рассказываете? До 26г ещё можно будет тарить потому что дивов не будетBablos, И, извините. Я не думал, что на форуме нельзя писать, что думаешь (к тому же, не засирая форум всякой истерикой).",GAZP
2,Константин,"Константин, тарьте, кто вам не даёт то? Для чего вы это всем рассказываете? До 26г ещё можно будет тарить потому что дивов не будетBablos, А вы для чего пишите, что дивов не будет, да ещё херовые рекомендации раздаёте?",GAZP
3,Bablos,"1. Компания ужасно (подчёркиваю, ужасно) недооценена, но есть геополитические риски, которые, на мой взгляд, сильно раздуты и значительно ме...Константин, тарьте, кто вам не даёт то? Для чего вы это всем рассказываете? До 26г ещё можно будет тарить потому что дивов не будет",GAZP
4,UshiSlona,"на dohod.ru ожидают, что ГП выдаст полугодовые дивиденды чуть меньше 10р на акцию в этом году. (Без понятия, с чего они взяли сроки и сумму....Dimkins,",GAZP
5,Константин,"1. Компания ужасно (подчёркиваю, ужасно) недооценена, но есть геополитические риски, которые, на мой взгляд, сильно раздуты и значительно меньше недооценки ГП. Даже, если СБУ и ЦРУ (сокращаем до СРУ) разработают очередную диверсию (самое серьёзное, но с вероятностью менее 1%,- подорвут хохляцкий транзит), то ГП всё равно будет недооценён.2. Но, к сожалению, на нашем рынке это не имеет никакого значения, и цену в стакане могут укатать или подбросить куда угодно.С учётом п.1 даже капли сомнения нет, что ГП тарят жирные жадные коты-скоты, которые по 300 не будут покупать ГП. И вот когда они нажрутся досыта, тогда сразу найдутся положительные «новости», что див.доха 30% и более может быть не одноразовой, что компания недооценена, что бизнес компании максимально территориально распределён, что геополитические риски как приходят, так и уходят, и про то, что газ это не только топливо, и будете удивлены от многого другого, что ещё придумают для вас аналгетики сбера.",GAZP
6,Dimkins,"на dohod.ru ожидают, что ГП выдаст полугодовые дивиденды чуть меньше 10р на акцию в этом году. (Без понятия, с чего они взяли сроки и сумму. Думаю, во многом «наугад», но тем не менее…",GAZP
7,Bablos,"элементарно 11 октября 10 рублей на акцию через 3 месяца т.е. 24% годовых не так уж и плохоАнтон Михеев, кто вам обещал дивиденды?",GAZP
8,Bablos,"а так если заглядывать на 10+ лет то революция газогидратов должна увеличить стоимость акций газпрома в 40 раз, другой вопрос, что пока новы...Антон Михеев, чё это за революция?",GAZP
9,Дмитрий Первый,"Дмитрий Первый, ленту форумов листал и наткнулся. Поправил ошибку в определении.Дюша Метелкин, понятно, так я из тебя и не выжму ничего?",GAZP
10,Дюша Метелкин,"Дюша Метелкин, а зачем ты здесь? И что сейчас интересует?Дмитрий Первый, ленту форумов листал и наткнулся. Поправил ошибку в определении.",GAZP
11,Дмитрий Первый,"Дмитрий Первый, никаких, неинтересен инструмент.Дюша Метелкин, а зачем ты здесь? И что сейчас интересует?",GAZP
