id,username,post,ticker
0,Карим Тактуров,"🥦 Продуктовый ритейл: X5, «Магнит», «Лента» и другие 🥦📎 В данной статье поговорим про сектор продуктового ритейла, как он отреагировал на потрясения в экономике. Сравним результаты основных игроков рынка и выберем лучших.Лучший телеграм с прибылными сигналами👇t.me/+zKWzSLivmAk4MDIyОбзор рынка:Потребительская активность в России восстанавливается, но этого нельзя сказать про продовольственные товары.В начале 2022 года россияне стали активно скупать продукты на фоне начала СВО. К 2023 году спрос пришел в норму.За счет создавшейся паники и ухода некоторых иностранных производителей, цены на продовольствие выросли.Мой телеграм:t.me/+zKWzSLivmAk4MDIyПродовольственная инфляция в РФ достигла максимума в марте 2022 года. С 2023 года началось резкое снижение на фоне высокой базы.Продуктовый ритейл — один из немногих секторов, который в 2022 году чувствовал себя хорошо в операционном плане за счет высокой инфляции.Онлайн форматы продолжают работать и привлекать новых клиентов. Также хорошо себя показывают небольшие магазины у дома.Авто-репост. Читать в блоге>>>",MGNT
1,Sergey Z,"✔️ Магнит — сделка закрыта.Сегодня была закрыта сделка по #mgnt в рамках сетапа в коррекционных вилах.Вход был пробое вил Шифа (совпадает ...Дмитрий Абраменко, ух ты…",MGNT
2,znak,✔️ Магнит — сделка закрыта.Сегодня была закрыта сделка по #mgnt в рамках сетапа в коррекционных вилах.Вход был пробое вил Шифа (совпадает ...полагаю проще использовать не логику вилл ШИФФАа логику вилл сети вкус виллпояснил — полагаю все уже прочитали и проверили цифры,MGNT
3,Владимир Литвинов,"​​Магнит - размагнитилсяДисклеймер: Статья вышла 26 июня у меня вTelegram, а добралась до Смарталаба только сейчас. Не обессудьте!Компания в последнее время потрепала нервы отечественным инвесторам. Сначала ушла в подполье и перестала публиковать отчеты по результатам своей деятельности. Также нерешенным остается вопрос о выплате дивидендов за 2022 год. Ну и вишенка на торте — перевод бумаг в III уровень котировального списка.💬16 июня поступила целая россыпь новостей с одновременной публикацией отчета сразу за полный 2022 год и за первый квартал 2023 года. Сегодня разберем все инфоповоды и заодно пробежимся по отчету ритейлера.Итак, общая выручка за 2022 год выросла на 26,7% до 2,4 трлн рублей. Сопоставимые LFL продажи подросли на 12,1%, а средний чек прибавил 10,3%. С выручкой у компании все в порядке, динамика значительно опережает инфляцию, которая является для нас ключевой метрикой при оценке ритейлеров.А вот с рентабельностью возникли проблемы. Магнит почти в три раза нарастил «прочие расходы» до 6,5 млрд рублей за счет обесценения нематериальных активов. Вдобавок увеличил процентные расходы по кредитам и займам с 10 до 22 ярдов. В итоге чистая прибыль за год сократилась на 34,1% до 34 млрд рублей.Авто-репост. Читать в блоге>>>",MGNT
4,РоманП.,"По приколу этого кроме акций и фьючей в Лонг, ещё опционов Колл сентябрьских взял при пустых стаканах 90-130 страйк 5750. По ним прибыль уже под +100%.",MGNT
5,Дмитрий Абраменко,"✔️ Магнит - сделка закрыта.Сегодня была закрыта сделка по #mgnt в рамках сетапа в коррекционных вилах.Вход был пробое вил Шифа (совпадает с трендовой), цель на 1.13 длины коррекции. Результат: +1.71R или +3.42% к депозиту за 3 дня.Южный Капитал|Telegram|Youtube|InstagramАвто-репост. Читать в блоге>>>",MGNT
6,Евгений Милушков,"Смена тренда по Магниту 📈Магнит Недельный график.5400-5500р. спекулятивная цель, которую обозначал в этом посте:smart-lab.ru/blog/916918.php📈 Дальше смотрим, в случае пробоя 5500р и закрепления — увидим смену тренда (на восходящий).У меня есть детский портфель, который открыл в тинькофф инвестиции и там держу акции магнита.Но… не забываем, что в сентябре будет пересмотр индекса ММВБ и Магнит в листе ожидания на вылет.Держите магнит в порфеле?------------------------------------------------------------Обогнал рынок ММВБ в 10 раз, доходность портфеля 5600% с 2014г. Еще больше мыслей и идей в моем авторском канале Cash инвестиции. Ссылка в описании профиля. Подписывайтесь!Все удачной торговли и профита.Авто-репост. Читать в блоге>>>",MGNT
7,Евгений Милушков,"Держу акции Магнита в детсом портфеле.Магнит Недельный график.5400-5500р. спекулятивная цель, которую обозначал в этом посте:📈 Дальше смотрим, в случае пробоя 5500р и закрепления — увидим смену тренда (на восходящий).У меня есть детский портфель, который открыл в тинькофф инвестиции и там держу акции магнита.Но… не забываем, что в сентябре будет пересмотр индекса ММВБ и Магнит в листе ожидания на вылет.Держите магнит в порфеле?------------------------------------------------------------Обогнал рынок ММВБ в 10 раз, доходность портфеля 5600% с 2014г. Еще больше мыслей и идей в моем авторском канале Cash инвестиции. Ссылка в описании профиля. Подписывайтесь!Все удачной торговли и профита.Авто-репост. Читать в блоге>>>",MGNT
8,KrumBumBes,"znak, так никто не делает. есть привала игры в области закона и этики рынка. Магнит — это не Детский Мир, они заявляли, что будут листиться ...Сергей Белый / Инвестор,Про этику рынка — насмешилиЕще напишите, что биржа это источник дополнительного заработка",MGNT
9,Сергей Белый / Инвестор,"Марэк, не согласенлогичней после приобретения 30 проц за пол ценысразу вбросить в рынок процента 4 своих акций до уровня 3800 и держать ...znak, так никто не делает. есть привала игры в области закона и этики рынка. Магнит — это не Детский Мир, они заявляли, что будут листиться на бирже и дальше.",MGNT
