id,username,post,ticker
0,Territory of Trading,"✅YandexЯрче подтверждается завершение коррекции в рамках волны 2. Вчера видели удары покупателей из зоны, а сейчас слабые продажи.Общий план:t.me/TerritoryofTrading/6548Авто-репост. Читать в блоге>>>",YNDX
1,Александр Сережкин,"Гендиректору компании ""Яндекс"" грозит штрафАдминистративный протокол возбуждён по части 2 статьи 6.21.2 КоАП — «Распространение среди несовершеннолетних информации, демонстрирующей нетрадиционные сексуальные отношения и (или) предпочтения либо способной вызвать у несовершеннолетних желание сменить пол».Протокол зарегистрирован 5 июля, дата рассмотрения дела пока не назначена.Авто-репост. Читать в блоге>>>",YNDX
2,Дмитрий М,Дорога на 2100.,YNDX
3,Nordstream,"Яндекс запустил B2B-сервис Яндекс Командировки: он позволяет компаниям бронировать билеты, отели и другие услуги под деловые поездки сотрудников — ForbesЯндексзапустил сервис Яндекс-Командировки: он позволяет компаниям бронировать билеты, отели и другие услуги под деловые поездки сотрудников.До этого он работал в тестовом режиме с конца 2022 года под брендом TeamTicket.www.forbes.ru/svoi-biznes/492128-andeks-zapustil-servis-dla-organizacii-komandirovokАвто-репост. Читать в блоге>>>",YNDX
4,R B,"Путин назвал обнадеживающими экономические показатели страны. На встрече с председателем правительства Михаилом Мишустиным президент РФ Владимир Путин дал оптимистическую оценку экономической ситуации в стране, отметив, что текущие показатели превосходят ожидания и предоставляют основание для надежды на успешное выполнение всех поставленных задач. Let's go Yandex!",YNDX
5,Карим Тактуров,"Яндекс и Полиметалл:$YNDX (Яндекс)Долгое время двигались в боковике. Было 3 попытки (красные окружности) пробить уровень сопротивления, который позже перешёл в сильный уровень поддержки (синяя линия). После смогли пробить уровень и выстроилась фигура «Голова и плечи». Ожидаю откат до уровня «шеи» фигуры (фиолетовая линия), после которого последует консолидация.Лучший телеграм с прибылными сигналами👇t.me/+zKWzSLivmAk4MDIy$POLY (Полиметалл)С сентября месяца шли по отличной трендовой (красная линия). Образовалась фигура «Двойная вершина», соответственно после ушли ниже. На данный момент идём неуверенно. Поспешных решений делать не стоит. Ситуация непонятная и может развернуться в любую из сторон.Авто-репост. Читать в блоге>>>",YNDX
6,Дмитрий М,"В каком направлении будем двигаться, вверх или вниз?",YNDX
7,Finmentor,"Яндекс. Новое направление.Коллеги, добрый день!🌤Компания Яндекс зарегистрировала новый бренд компьютерной техники «Lunnen».💥Под этим брендом будет выпускаться различная компьютерная техника и аксессуары, а также ноутбуки, мониторы, настольные ПК, принтеры и клавиатуры.💻🖨Запуск продукции планируется на конец 2023 — начало 2024 года.🏁❗️Несмотря на то, что доля выручки в масштабах Яндекса пока не такая большая и составляет всего 3,7%, однако можно заметить сильные темпы роста выручки данного направления темпами +172% г/г в 1 квартале 2023 года!🚀📈В перспективе появление техники под собственным брендом может поддержать продажи Яндекс.Маркета и послужить дополнительной платформой для продвижения ПО и сервисов компании.👍На горизонте 3-5 лет развитие нового направления сможет повлиять на EBITDA Яндекса, что станет дополнительным вкладом в капитализацию компании!🪙📈******************************Мы знаем какие акции купить и когда их продать!🔥…Не является индивидуальной инвестиционной рекомендацией…Авто-репост. Читать в блоге>>>",YNDX
8,stanislava,"Смена CFO нейтральна для акций Яндекса - Альфа-БанкYandex сообщил о предстоящих изменениях в финансовом департаменте  в  связи  с  планируемой  реструктуризацией.Финансовый  директор  Яндекса  Светлана Демяшкевич с 1 августа перейдет в материнскую компанию Yandex N.V. на должность старшего вице-президента по финансам. Она будет заниматься вопросами международных бизнесов, работать напрямую с советом директоров и подчиняться его главе – Джону Бойнтону. Должность финансового директора Яндекса с 1 августа займет Александр Балахнин. На текущий момент он работает на аналогичной должности в бизнес-группе электронной коммерции и логистических сервисов, а до этого – отвечал за финансы в Яндекс Маркете.Мы считаем смену CFO  нейтральной для акций компании, так как внимание инвесторов продолжает быть приковано к схеме и срокам корпоративной реструктуризации Яндекса.Курбатова Анна«Альфа-Банк»Авто-репост. Читать в блоге>>>",YNDX
9,Вклад в Будущее,"Яндекс Тех.анализ компании$YNDX (Яндекс) #ТеханализДолгое время двигались в боковике. Было 3 попытки (красные окружности) пробить уровень сопротивления, который позже перешёл в сильный уровень поддержки (синяя линия). После смогли пробить уровень и выстроилась фигура «Голова и плечи». Ожидаю откат до уровня «шеи» фигуры (фиолетовая линия), после которого последует консолидация.Мой телеграм:t.me/+zKWzSLivmAk4MDIyАвто-репост. Читать в блоге>>>",YNDX
10,stanislava,"Потенциально появление техники под собственным брендом может поддержать продажи Яндекс.Маркета - АтонЯндекс Маркет зарегистрировал новый бренд компьютерной техникиЯндекс подал заявку в Роспатент на регистрацию товарного знака Lunnen. По словам представителя компании, под этим брендом будет выпускаться различная компьютерная техника и аксессуары, в том числе ноутбуки, мониторы, настольные ПК, принтеры, клавиатура и т. д. Запуск продукции планируется на конец 2023 — начало 2024.Доля устройств в выручке компании — небольшая, но стремительно растет (+172% г/г в 1К23, 3.7% от общего объема выручки). Потенциально появление техники под собственным брендом может поддержать продажи Яндекс.Маркета и послужить дополнительной платформой для продвижения ПО и сервисов компании. Тем не менее проект пока находится на ранней стадии, и неизвестно, будет ли он реализован и в каких масштабах.АтонАвто-репост. Читать в блоге>>>",YNDX
11,master1,"Яндекс. Варианты волн. Цена может пойти куда угодно. Волновая теория объяснит это. Но потом.1. В понедельник 26.06.23 закончилась волна коррекции АВС и пошли вверх в новом импульсе, а в пятницу 30.06.23 началась, возможно, волна 2 этого импульса.2. В понедельник 26.06.23 закончилась волна коррекции А (хотя там больше похоже на 3 волны, а не 5) и пошли вверх в В, а в пятницу 30.06.23 началась, возможно, волна С.3. В понедельник 26.06.23 закончилась волна нового импульса, но уже вниз и пошли вверх в волне коррекции 2 к импульсу, а в пятницу 30.06.23 начался, возможно, волна 3 этого импульса вниз.Ещё вариантов полно. Но эти основные.Цена может пойти куда угодно. Волновая теория объяснит это. Но потом. Если захочешь.Авто-репост. Читать в блоге>>>",YNDX
12,Nordstream,"Яндекс хочет выйти из совместного проекта по производству серверов OpenYard с группой Ланит и ищет покупателей на свою долю — ForbesЯндекс хочет выйти из совместного проекта по производству серверов OpenYard с группой Ланит и ищет покупателей на свою долю. Причина — изменение ситуации на рынке и желание компании сосредоточиться на своей основной деятельности.В «Яндексе» не подтвердили, но и не опровергли эту информацию, в «Ланите» также отказались от комментариев. «Мы готовимся к запуску завода в обычном режиме. Возможные изменения носят организационный характер и никак не влияют на наши планы», — заявили Forbes в пресс-службе ОpenYard.Источник:www.forbes.ru/tekhnologii/491978-andeks-i-lanit-isut-varianty-po-vyhodu-iz-sp-po-proizvodstvu-serverovАвто-репост. Читать в блоге>>>",YNDX
13,Nordstream,"Яндекс подал в Роспатент заявку на регистрацию бренда Lunnen под которой планирует продавать компьютерную технику и аксессуарыЯндексподал в Роспатент заявку на регистрацию бренда Lunnen под которой планирует продавать компьютерную технику и аксессуары.«В будущем под этим брендом появится компьютерная техника и аксессуары: ноутбуки, мониторы, планшеты, настольные ПК, моноблоки, проекторы, принтеры, а также периферийная продукция (мыши, клавиатуры, компьютерные и HDMIкабели, гарнитуры, колонки, переходники и адаптеры)», — пояснили ТАСС в пресс-службе Яндекса.Источник:tass.ru/ekonomika/18160631Авто-репост. Читать в блоге>>>",YNDX
14,Амиран,"сегодня ожидаем: ВОСА — обсудят вопросы, касающиеся внутренней реорганизациисм.календарь по акциям",YNDX
15,Territory of Trading,"✅YandexСудя по характеру возобновления и слабых продажах на часовиках, могу сделать вывод что волну 2закончили.Фактически ожидается волна 3, в связи с этим поправка на ветерпрошлыхцелей. Вероятно не 3300, а +- 3600.Телега:https://t.me/+F6Ka767DDgFhZGQyАвто-репост. Читать в блоге>>>",YNDX
16,Nordstream,"Яндекс Афиша стала крупнейшим продавцом билетов на развлечения: 9 млн шт (+75% г/г) за 1-е полугодие 2023 гЯндексАфиша стала крупнейшим продавцом билетов на развлечения: 9 млн шт (+75% г/г) за 1-е полугодие 2023 г, из них 2,9 млн — билеты в кино.«В этом году мы стали крупнейшим продавцом билетов на развлечения в России. При этом на концерты уже приходится 30% проданных билетов, на театральные постановки — 17%, выставки — 5,6%, стендап — 4,8%»,— заявили в «Яндексе».Источник:www.kommersant.ru/doc/6069721Авто-репост. Читать в блоге>>>",YNDX
17,Яндекс,"Про оригинальные проекты Плюс Студии и КинопоискаНаверняка все знают Кинопоиск — самый популярный онлайн-кинотеатр в России с 80+ тыс. фильмов и другого видеоконтента. Уверены, про Музыку вы тоже слышали :) И про Яндекс Плюс — подписку, которая объединяет эти два сервиса, надеемся, тоже (возможно, вы даже в числе 22+ млн подписчиков).А знаете ли вы, что в направлении Плюс и развлекательные сервисы (который внутри Яндекса мы называем Плюс и Фантех) есть еще продюсерский центр Плюс Студия? Он создаёт свой оригинальный контент, а также занимается соинвестированием и сопродюсированием классных проектов с партнёрами и другими студиями. Этот бизнес мы запустили в 2018 году и с тех пор выпустили 20+ оригинальных сериалов (у многих уже несколько сезонов) и 5+ фильмов. Кстати, немногие знают, что новый фильм Гая Ричи «Переводчик» был снят тоже с помощью нашей Студии 🤩Изначально мы хотели просто создавать крутой оригинальный контент для наших подписчиков, но постепенно инициатива превратилась в дополнительный источник выручки: наши развлекательные проекты начали покупать внешние платформы и телеканалы.Авто-репост. Читать в блоге>>>",YNDX
18,Nordstream,"Соллерс поставил 100 автофургонов Sollers Atlant каршерингу Яндекса в МосквеСоллерс поставил 100 автофургонов Sollers Atlant каршерингу Яндекса в Москве.Характеристики авто:1. полная масса до 2,5 т2. короткая база3. низкая крыша4. двигатель евро-5 1,9 литра5. макс мощность 136 л.с.6. грузовой отсек — 7,5 кубовИсточник:www.interfax.ru/business/909275Авто-репост. Читать в блоге>>>",YNDX
19,Дмитрий М,"Ну что, как вчера в 21.30 на дно нырнём?",YNDX
20,✔  ⓈⒺⓇⒼⒾⓄ:Ⓩ,"Нашествие беспилотников: Яндекс начал тестировал беспилотные авто в столице Сербии БелградеДочерняя компания «Яндекса» — Self-Driving Group ...Nordstream, накер накер, собяшкингская зараза расползается",YNDX
21,Nordstream,"Нашествие беспилотников: Яндекс начал тестировал беспилотные авто в столице Сербии БелградеДочерняя компания ""Яндекса"" — Self-Driving Group (SDG) — начала тестировать беспилотные автомобили встолицеСербии — Белграде.Ранее компания сообщала о запуске тестирования беспилотного такси вМоскве.Источник:tass.ru/ekonomika/18131895Авто-репост. Читать в блоге>>>",YNDX
22,Дмитрий М,"Лидер партии «Новые люди» претендует на долю в Яндексе — Ренессанс КапиталКапитализация: RUB 791 627 млнОбъём торгов: RUB 2 255,5 млнВ с...stanislava,Алексей Нечаев под санкциями, ему не продадут Яндекс.",YNDX
23,Iosif Pipkin,дальше смотрим,YNDX
24,Iosif Pipkin,Все взлет в уровень 2500,YNDX
25,Territory of Trading,"✅YandexДошлидо зоны покупок и чуть не дойдя до 50% покупатели начали проявлять свою активность. Посмотрим ход торгов, но план без изменений:t.me/TerritoryofTrading/6173Авто-репост. Читать в блоге>>>",YNDX
26,stanislava,"Лидер партии «Новые люди» претендует на долю в Яндексе - Ренессанс КапиталКапитализация: RUB 791 627 млнОбъём торгов: RUB 2 255,5 млнВ свободном обращении: 84,00%По сообщению РБК, Алексей Нечаев, лидер партии «Новые люди», входит в пул инвесторов, заинтересованных в приобретении части российского бизнеса интернет-компании. Также в списке могут фигурировать основатель Лукойл Вагит Алекперов и владелец Kismet Capital Group Иван Таврин. Также допускается, что в сделке может принять участие негосударственный фонд «Газфонда». В Яндексе заявили, что не комментируют различные слухи.Алексей Нечаев и пресс-служба «Новых людей» отказались от комментариев. Как депутат Госдумы, Нечаев находится под санкциями, в частности, со стороны ЕС и США. У Нечаева есть опыт инвестиций в интернет-медиа: в 2021 году его инвестиционный фонд «Эскадра-Капитал» купил 100% издания Sports.ru.Панарин КириллЛазаричева Марьяна«Ренессанс Капитал»Авто-репост. Читать в блоге>>>",YNDX
27,Дмитрий М,А что это Яндекс так пикирует вниз?,YNDX
28,Belarus,R B Что будет 30 июня,YNDX
29,R B,"Набираем на 30 июня, пока дешево.",YNDX
30,Nordstream,"В пул инвесторов, заинтересованных в покупке доли в Яндексе, может войти структура, связанная с семьей руководителя фракции ""Новые люди"" Александра Нечаева — РБКВ пул инвесторов, заинтересованных в покупке доли в Яндексе, может войти структура, связанная с семьей руководителя фракции «Новые люди» в Госдуме Александра Нечаева. Помимо Нечаева на долю в Яндексе в составе консорциума инвесторов также могут претендовать Вагит Алекперов, владелец Kismet Capital Group Иван Таврин. Иностранные директора «Яндекса» могут не поддержать сделку, т.к. Нечаев находится под санкциями.РБК сообщает, что в сделке может участвовать также негосударственный пенсионный фонд Газфонд.Источник:www.rbc.ru/technology_and_media/25/06/2023/6496eb589a7947a6186e5d26?from=from_main_1Авто-репост. Читать в блоге>>>",YNDX
31,Smart Investors,"Пока графику не хватает волнишек.не хватает волны IV. Держу. Жду в район 3000-3280. Станет более понятно, как появится волна IV. Возможно, она уже началась и дадут чуть ниже :)",YNDX
32,Nordstream,"Сделка по продаже Яндекса консорциуму инвесторов может не состояться - ForbesСделка по продаже Яндекса консорциуму инвесторов может не состояться поскольку совет директоров компании не хочет продавать ее доли бизнесменам, находящимся под санкциями. Из всех участников только Вагит Алекперов не попадает под этот критерий.По сообщениям изданий весной среди потенциальных покупателей «Яндекса» были Владимир Потанин, Алексей Мордашов, Вагит Алекперов и банк ВТБ.Bloomberg сообщал, что Потанин и Алекперов сделали предложения о покупке не менее 51% акций в российском бизнесе «Яндекса», который целиком оценили в 560-600 млрд рублей ($7-7,5 млрд).К предложению Потанина в будущем может присоединиться основной владелец «Северстали» Алексей Мордашов, писало агентство.Глава ВТБ Андрей Костин в конце мая подтвердил, что ВТБ стал участником «большого консорциума» с целью покупки доли «Яндекса».www.forbes.ru/investicii/491529-smi-uznali-ob-ugroze-sryva-razdela-andeksa-iz-za-sankcij-protiv-investorovАвто-репост. Читать в блоге>>>",YNDX
33,Territory of Trading,"✅ЯндексСнесли ближайший рубеж покупателя. По всей видимости будет глубокая коррекция, поскольку ближайшие зоны покупок далеко. Если подтвердится волна 2 своей структурой, цели могут быть чуть интереснее, но общие врайоне 3300.Главное чтоб быки удерживали свой диапазон.Телега:https://t.me/+F6Ka767DDgFhZGQyАвто-репост. Читать в блоге>>>",YNDX
34,✔  ⓈⒺⓇⒼⒾⓄ:Ⓩ,"Гнида свинорыл закупает уже бумагу? подешевело ведьАндрей Башкатов, ты про кого, про Хостина? знамо дело.",YNDX
35,Андрей Башкатов,Гнида свинорыл закупает уже бумагу? подешевело ведь,YNDX
36,R B,"Сегодня в 18:00, после заседания FATF, Яндекс пойдет +2% наверх.",YNDX
37,Erenbur,"Инвестиции в Яндекс: Долгосрочные перспективы и анализ акцийВ этом видеоролике я подробно рассмотрю инвестиционные возможности в компанию Яндекс и проанализирую ее долгосрочные перспективы. Вы узнаете о фундаментальном и техническом анализе акций Яндекса, а также рассмотрите важные мультипликаторы.Если вы интересуетесь инвестициями и хотите узнать, стоит ли вложить средства в акции Яндекса, то этот ролик для вас.________________________________________________________________Подписывайтесь, ставьте лайки, присоединяйтесь:Телеграм:https://t.me/erenburYouTube:www.youtube.com/c/erenburСайт:erenbur.ruАвто-репост. Читать в блоге>>>",YNDX
38,Nordstream,"Яндекс заплатит 100 млн руб белым хакерам за поиск уязвимостей в его продуктахВ 2022-м году Яндекс выделил 40 млн рублей на выплаты «белым хакерам», которые нашли «пробелы» и уязвимости в его продуктах и инфраструктуре.В 2023-м году выплаты увеличены в 2,5 раза — до 100 млн рублей.«Программа помогает постоянно укреплять защиту сервисов и оперативно исправлять найденные ошибки», — говорится в сообщении компании1prime.ru/telecommunications_and_technologies/20230622/840899587.htmlАвто-репост. Читать в блоге>>>",YNDX
39,✔  ⓈⒺⓇⒼⒾⓄ:Ⓩ,"Глава Минтранса доложил Путину о запуске инфосистемы легкового такси в РФ с 1 сентябряУже с 1 сентября этого года Федеральная государствен...Гоша Фомич, кому-кому доложил? не смеши народ, тут у всех нормальное зрение…",YNDX
